"","n_datapoints","forecast_point","sd","rho","Median eBMI Error","Mean eBMI Error"
"1","6","Most Recent","0.2","0.9","0.36","0.58"
"2","10","Most Recent","0.2","0.9","0.36","0.56"
"3","8","Most Recent","0.2","0.9","0.39","0.59"
"4","6","Mean + Most Recent","0.2","0.9","0.39","0.61"
"5","4","Most Recent","0.2","0.9","0.41","0.60"
"6","10","Mean + Most Recent","0.2","0.9","0.41","0.62"
"7","6","Mean","0.2","0.9","0.42","0.65"
"8","4","Mean + Most Recent","0.2","0.9","0.42","0.61"
"9","8","Mean + Most Recent","0.2","0.9","0.42","0.63"
"10","4","Mean","0.2","0.9","0.43","0.62"
"11","2","Mean + Most Recent","0.2","0.9","0.43","0.65"
"12","10","Mean","0.2","0.9","0.44","0.67"
"13","2","Mean","0.2","0.9","0.44","0.65"
"14","2","Most Recent","0.2","0.9","0.45","0.64"
"15","8","Mean","0.2","0.9","0.45","0.66"
"16","10","Mean","0.2","0.7","0.48","0.76"
"17","10","Mean + Most Recent","0.2","0.7","0.51","0.77"
"18","2","Max","0.2","0.9","0.51","0.73"
"19","8","Mean + Most Recent","0.2","0.7","0.53","0.79"
"20","10","Most Recent","0.2","0.7","0.53","0.80"
"21","8","Most Recent","0.2","0.7","0.53","0.83"
"22","8","Mean","0.2","0.7","0.54","0.80"
"23","4","Max","0.2","0.9","0.54","0.79"
"24","6","Mean + Most Recent","0.2","0.7","0.54","0.82"
"25","6","Mean","0.2","0.7","0.55","0.83"
"26","4","Mean","0.2","0.7","0.57","0.80"
"27","6","Max","0.2","0.9","0.57","0.85"
"28","4","Mean + Most Recent","0.2","0.7","0.58","0.84"
"29","6","Most Recent","0.2","0.7","0.59","0.88"
"30","10","Max","0.2","0.9","0.60","0.89"
"31","8","Max","0.2","0.9","0.60","0.87"
"32","2","Mean","0.2","0.7","0.61","0.87"
"33","2","Mean + Most Recent","0.2","0.7","0.61","0.89"
"34","4","Most Recent","0.2","0.7","0.61","0.92"
"35","2","Most Recent","0.2","0.7","0.66","0.95"
"36","2","Max","0.2","0.7","0.66","0.99"
"37","10","Most Recent","0.4","0.9","0.72","1.20"
"38","4","Max","0.2","0.7","0.74","1.07"
"39","8","Most Recent","0.4","0.9","0.76","1.17"
"40","6","Max","0.2","0.7","0.77","1.14"
"41","8","Max","0.2","0.7","0.80","1.16"
"42","4","Most Recent","0.4","0.9","0.80","1.25"
"43","6","Most Recent","0.4","0.9","0.81","1.30"
"44","8","Mean + Most Recent","0.4","0.9","0.83","1.27"
"45","10","Max","0.2","0.7","0.84","1.20"
"46","4","Mean + Most Recent","0.4","0.9","0.84","1.28"
"47","6","Mean + Most Recent","0.4","0.9","0.85","1.38"
"48","10","Mean + Most Recent","0.4","0.9","0.86","1.32"
"49","2","Mean","0.4","0.9","0.86","1.35"
"50","8","Mean","0.4","0.9","0.87","1.33"
"51","2","Mean + Most Recent","0.4","0.9","0.89","1.37"
"52","4","Mean","0.4","0.9","0.89","1.35"
"53","2","Most Recent","0.4","0.9","0.89","1.39"
"54","6","Mean","0.4","0.9","0.91","1.44"
"55","10","Mean","0.4","0.9","0.93","1.39"
"56","2","Max","0.4","0.9","1.00","1.54"
"57","8","Mean","0.4","0.7","1.02","1.59"
"58","4","Max","0.4","0.9","1.03","1.62"
"59","6","Mean","0.4","0.7","1.03","1.59"
"60","2","Mean","0.4","0.7","1.08","1.64"
"61","6","Mean + Most Recent","0.4","0.7","1.08","1.62"
"62","4","Mean","0.4","0.7","1.08","1.72"
"63","8","Most Recent","0.4","0.7","1.08","1.72"
"64","8","Mean + Most Recent","0.4","0.7","1.09","1.64"
"65","10","Mean","0.4","0.7","1.12","1.71"
"66","6","Most Recent","0.4","0.7","1.12","1.74"
"67","10","Most Recent","0.4","0.7","1.13","1.75"
